time [s],x [m],y [m],speed [m/s],acceleration [m/s^2]
0,0.510526,0.35,0,0
0.0150754,0.510526,0.35,3.77509e-06,0.000499987
0.0301508,0.510527,0.35,1.50496e-05,0.000994924
0.0452261,0.510527,0.35,3.37474e-05,0.00148481
0.0603015,0.510527,0.35,5.97924e-05,0.00196965
0.0753769,0.510528,0.35,9.31084e-05,0.00244943
0.0904523,0.51053,0.35,0.000133619,0.00292417
0.105528,0.510532,0.35,0.000181249,0.00339385
0.120603,0.510534,0.35,0.000235921,0.00385849
0.135678,0.510537,0.35,0.00029756,0.00431807
0.150754,0.510541,0.35,0.000366089,0.00477261
0.165829,0.510545,0.35,0.000441432,0.00522209
0.180905,0.51055,0.35,0.000523514,0.00566652
0.19598,0.510556,0.35,0.000612257,0.00610591
0.211055,0.510563,0.35,0.000707586,0.00654024
0.226131,0.510571,0.35,0.000809425,0.00696952
0.241206,0.510581,0.35,0.000917697,0.00739375
0.256281,0.510591,0.35,0.00103233,0.00781293
0.271357,0.510602,0.35,0.00115324,0.00822706
0.286432,0.510615,0.35,0.00128035,0.00863615
0.301508,0.510629,0.35,0.0014136,0.00904018
0.316583,0.510645,0.35,0.0015529,0.00943916
0.331658,0.510662,0.35,0.00169817,0.00983309
0.346734,0.51068,0.35,0.00184935,0.010222
0.361809,0.5107,0.35,0.00200634,0.0106058
0.376884,0.510722,0.35,0.00216909,0.0109846
0.39196,0.510746,0.35,0.00233751,0.0113583
0.407035,0.510771,0.35,0.00251153,0.011727
0.422111,0.510798,0.35,0.00269106,0.0120906
0.437186,0.510826,0.35,0.00287604,0.0124492
0.452261,0.510857,0.35,0.00306639,0.0128027
0.467337,0.51089,0.35,0.00326203,0.0131512
0.482412,0.510924,0.35,0.00346288,0.0134946
0.497487,0.510961,0.35,0.00366888,0.013833
0.512563,0.511,0.35,0.00387993,0.0141663
0.527638,0.511041,0.35,0.00409598,0.0144946
0.542714,0.511084,0.35,0.00431693,0.0148178
0.557789,0.511129,0.35,0.00454272,0.015136
0.572864,0.511177,0.35,0.00477327,0.0154491
0.58794,0.511227,0.35,0.0050085,0.0157572
0.603015,0.51128,0.35,0.00524833,0.0160602
0.61809,0.511335,0.35,0.0054927,0.0163582
0.633166,0.511392,0.35,0.00574152,0.0166511
0.648241,0.511452,0.35,0.00599472,0.016939
0.663317,0.511514,0.35,0.00625222,0.0172218
0.678392,0.51158,0.35,0.00651394,0.0174996
0.693467,0.511647,0.35,0.00677981,0.0177723
0.708543,0.511718,0.35,0.00704976,0.0180399
0.723618,0.511791,0.35,0.00732371,0.0183026
0.738693,0.511867,0.35,0.00760157,0.0185601
0.753769,0.511946,0.35,0.00788328,0.0188127
0.768844,0.512028,0.35,0.00816876,0.0190601
0.78392,0.512112,0.35,0.00845794,0.0193025
0.798995,0.5122,0.35,0.00875072,0.0195399
0.81407,0.51229,0.35,0.00904705,0.0197722
0.829146,0.512384,0.35,0.00934685,0.0199995
0.844221,0.51248,0.35,0.00965003,0.0202217
0.859296,0.51258,0.35,0.00995652,0.0204389
0.874372,0.512682,0.35,0.0102663,0.020651
0.889447,0.512788,0.35,0.0105791,0.0208581
0.904523,0.512897,0.35,0.0108951,0.0210601
0.919598,0.513009,0.35,0.0112141,0.021257
0.934673,0.513125,0.35,0.011536,0.021449
0.949749,0.513243,0.35,0.0118608,0.0216358
0.964824,0.513365,0.35,0.0121883,0.0218176
0.979899,0.51349,0.35,0.0125186,0.0219944
0.994975,0.513619,0.35,0.0128514,0.0221661
1.01005,0.513751,0.35,0.0131869,0.0223328
1.02513,0.513886,0.35,0.0135248,0.0224944
1.0402,0.514025,0.35,0.0138651,0.0226509
1.05528,0.514167,0.35,0.0142077,0.0228025
1.07035,0.514312,0.35,0.0145525,0.0229489
1.08543,0.514461,0.35,0.0148996,0.0230903
1.1005,0.514614,0.35,0.0152487,0.0232267
1.11558,0.51477,0.35,0.0155999,0.023358
1.13065,0.514929,0.35,0.0159529,0.0234843
1.14573,0.515092,0.35,0.0163079,0.0236055
1.1608,0.515259,0.35,0.0166646,0.0237216
1.17588,0.515429,0.35,0.0170231,0.0238327
1.19095,0.515603,0.35,0.0173832,0.0239388
1.20603,0.51578,0.35,0.0177448,0.0240398
1.22111,0.515962,0.35,0.018108,0.0241358
