time [s],x [m],y [m],speed [m/s],acceleration [m/s²]
0,0.45386,0.35,0,0
0.040404,0.45386,0.35,2.43224e-05,0.00119988
0.0808081,0.453863,0.35,9.663e-05,0.00237527
0.121212,0.453869,0.35,0.000215933,0.00352617
0.161616,0.453879,0.35,0.000381243,0.00465259
0.20202,0.453895,0.35,0.00059157,0.00575451
0.242424,0.453917,0.35,0.000845925,0.00683196
0.282828,0.453948,0.35,0.00114332,0.00788491
0.323232,0.453987,0.35,0.00148276,0.00891338
0.363636,0.454037,0.35,0.00186326,0.00991736
0.40404,0.454098,0.35,0.00228383,0.0108968
0.444444,0.454171,0.35,0.00274348,0.0118519
0.484848,0.454257,0.35,0.00324123,0.0127824
0.525253,0.454358,0.35,0.00377607,0.0136884
0.565657,0.454474,0.35,0.00434703,0.0145699
0.606061,0.454606,0.35,0.00495311,0.015427
0.646465,0.454755,0.35,0.00559333,0.0162596
0.686869,0.454922,0.35,0.00626669,0.0170676
0.727273,0.455108,0.35,0.0069722,0.0178512
0.767677,0.455314,0.35,0.00770888,0.0186103
0.808081,0.45554,0.35,0.00847574,0.019345
0.848485,0.455787,0.35,0.00927178,0.0200551
0.888889,0.456056,0.35,0.010096,0.0207407
0.929293,0.456348,0.35,0.0109475,0.0214019
0.969697,0.456664,0.35,0.0118251,0.0220386
1.0101,0.457003,0.35,0.012728,0.0226507
1.05051,0.457367,0.35,0.0136552,0.0232384
1.09091,0.457757,0.35,0.0146056,0.0238017
1.13131,0.458172,0.35,0.0155782,0.0243404
1.17172,0.458614,0.35,0.0165721,0.0248546
1.21212,0.459083,0.35,0.0175863,0.0253444
1.25253,0.459579,0.35,0.0186198,0.0258096
1.29293,0.460104,0.35,0.0196716,0.0262504
1.33333,0.460657,0.35,0.0207407,0.0266667
1.37374,0.461239,0.35,0.0218262,0.0270585
1.41414,0.461851,0.35,0.022927,0.0274258
1.45455,0.462492,0.35,0.0240421,0.0277686
1.49495,0.463163,0.35,0.0251706,0.0280869
1.53535,0.463864,0.35,0.0263114,0.0283808
1.57576,0.464597,0.35,0.0274636,0.0286501
